question_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
260,14,私は母に買い物を＿＿＿＿ました。だから、めんどくさいけど、スーパーに買い物に行きました。,頼まれ,頼み,頼んで,頼ませ,A
261,14,私はみんなに「ケン」と＿＿＿＿ています。,呼び,呼ばれ,呼んで,呼べ,B
262,14,私は毎日母に＿＿＿＿＿ています。,起き,起こし,起こされ,起こさせて,C
263,14,私は上田さんに「何が好き？」と＿＿＿＿ました。甘いものが好きなので、ケーキと答えました。,聞き,聞いて,聞こえ,聞かれ,D
264,14,私は先生に______。,ほめられた,ほめた,ほめて,ほめさせた,A
265,14,テストで満点を取って、先生に＿＿＿＿＿＿。,褒められました,褒めさせました,褒めりました,褒まりました,A
266,14,新しい髪型を彼に＿＿＿＿＿＿、とても嬉しかった。,褒めた,褒めさせて,褒められて,褒めて,C
267,14,週末、友達に映画に＿＿＿＿＿＿。,誘われました,誘いました,誘わせました,誘られました,A
268,14,好きな人にデートに＿＿＿＿＿＿が、都合が悪くて行けなかった。,誘った,誘われた,誘わせて,誘いて,B
269,14,海で溺れかけたとき、ライフセーバーに＿＿＿＿＿＿。,助けられた,助けた,助けらせた,助かった,A
270,14,仕事で困っているとき、同僚に＿＿＿＿＿＿。,助けさせました,助けました,助けられました,助りました,C
271,14,部長に急な仕事を＿＿＿＿＿＿ので、残業することになった。,頼ませた,頼んだ,頼まれた,頼られた,C
272,14,知らない人に道を＿＿＿＿＿＿。だから、道を教えてあげました。,聞きました,聞かれました,聞かせました,聞かられました,B
273,14,友人の結婚式に＿＿＿＿＿＿。楽しみです。,招待しました,招待させました,招待されました,招待られました,C
274,14,社長の家のパーティーに＿＿＿＿＿＿。,招待された,招待した,招待させて,招待れて,A
275,14,授業中に寝ていたので、先生に＿＿＿＿＿＿。,叱られました,叱りました,叱らせました,叱りられました,A
276,14,満員電車で、隣の人に足を＿＿＿＿＿＿。,踏んだ,踏ませた,踏めた,踏まれた,D
277,14,旅行中にパスポートを＿＿＿＿＿ので、大変でした。,盗んだ,盗まれた,盗ませた,盗みられた,B
278,14,弟に大切にしていたカメラを＿＿＿＿＿＿。,壊された,壊した,壊させた,壊れた,A
279,14,みんなの前で転んで、＿＿＿＿＿＿。,笑った,笑わせた,笑われた,笑えられた,C
280,14,このお寺は500年前に＿＿＿＿＿＿。,建てました,建てさせました,建てられました,建ちました,C
281,14,この小説は有名な作家によって＿＿＿＿＿＿。,書かれました,書きました,書かせました,書きられました,A
282,14,昨日、公園で蚊に＿＿＿＿＿＿。,刺した,刺せた,刺された,刺しられた,C
283,14,彼女に告白したが、＿＿＿＿＿＿。,振らせた,振った,振られた,振りました,C
284,14,来週、東京で国際会議が＿＿＿＿＿＿。,開かれます,開きます,開かせます,開けられます,A
285,15,"A:風邪をひいている_____、仕事に行くんですか。
  B: ええ、会議かあるので休めないんです。",のに,なのに,ので,だから,A
286,15,仕事が忙しい_____、山田さんは今日も休みです。,のに,なのに,ので,だから,A
287,15,もう5月_______、とても寒いですね。,のに,なのに,ので,だから,B
288,15,"A:お腹、空きましたね。
  B:え？ さっきたくさん食べた＿＿＿＿、もうお腹が空いたんですか？",で,なのに,ので,のに,D
289,15,リンさんは歌が上手＿＿＿＿、皆の前で歌いません。,なのに,ので,だから,のに,A
290,15,大石さんは中国に２年住んでいる＿＿＿＿中国語ぜんぜん話せません。,だから,から,ので,のに,D
291,15,ピアノを毎日練習している＿＿＿＿＿なかなか上手になりません。,ので,のに,から,で,B
292,15,あの人はもう７０歳＿＿＿＿＿、毎日１０キロ走っています,に,の,なのに,のに,C
293,15,あの子は雨が降っている_______外で遊んでいます,で,だから,ので,のに,D
294,15,いつも週末は休みです。でも、今日は日曜日＿＿＿＿、仕事があります。,けど,だから,なのに,ので,C
295,15,このバーはいつも静か＿＿＿＿、今日は人が多いです,けど,から,なので,なのに,D
296,15,今日は日曜日なのに、＿＿＿＿。,学校があります,寝ています,公園で遊びます,天気がいいです,A
297,15,イケメンなのに、＿＿＿＿＿。,彼女がいます,かっこいいです,彼女がいません,モテます,C
298,15,早く起きたのに、＿＿＿＿。,遅刻しました,間に合いました,遅いです,朝ごはんを食べました,A
299,15,＿＿＿＿のに、すぐこわれました,高かった,安かった,こわれた,お店で見た,A
300,15,ダイエット中_____、ケーキをたくさん食べました。,だから,だのに,なのに,から,C
301,15,彼はお金持ちなのに、＿＿＿＿。,フェラーリを持っています,とてもケチです,家が大きいです,旅行が好きです,B
302,15,今日は暖かいのに、＿＿＿＿。,コートを着ています,外に出かけました,花が咲いています,ピクニックをします,A
303,15,学生なのに、＿＿＿＿。,毎日学校に行きます,授業を受けています,全然勉強しません,宿題があります,B
304,15,今日は忙しいのに、＿＿＿＿。,たくさん仕事があります,友だちと遊びに行きました,会議が続きます,メールが多いです,B
305,15,＿＿＿＿のに、全然疲れていません。,一日中歩いた,ずっと家にいた,早く寝た,何もしていない,A
306,15,＿＿＿＿のに、部屋が暗いです。,電気をつけた,夜になった,カーテンを閉めた,まだ朝,A
307,15,＿＿＿＿のに、彼は笑っています。,とても怒っている,うれしいニュースを聞いた,おもしろい映画を見た,誕生日,A
308,15,今日は休日＿＿、会社に行きます。,のに,なのに,ので,けど,B
309,15,今日はクリスマス＿＿、会社に行きます。,のに,ですが,なので,で,B
310,15,たくさん練習した＿＿、全然上手になりません。,なのに,ので,から,のに,D
311,15,近い＿＿、タクシーを使うんですか。,から,なのに,のに,ので,C
312,15,日本に3年住んでいる＿＿、漢字が読めます。,のに,なのに,ので,から,D
313,16,明日テストがあるので、今日は早く寝___いけません。,なければ,たら,のに,そうで,A
314,16,健康のために、毎日野菜を食べ___いけません。,ては,なければ,ると,すぎて,B
315,16,明日までにこの宿題を出さ___いけません。,れば,せれば,なくては,なれれば,C
316,16,電車の中では、マナーモードに___いけません。,すれば,しなければ,しなくれば,しれば,B
317,16,朝寝坊したので、急いで________。,行かなければいけません,行けるはずです,行ったみたいです,行かなくてもいいです,A
318,16,風邪をひいたので、今日は薬を＿＿＿＿。,飲んでみたいです,飲まなければいけません,飲ければいいです,飲まなくてもいいです,B
319,16,仕事がたくさんあるので、今夜は残業を＿＿＿＿。,しなければいけません,してはいけません,するければいけません,しなければません,A
320,16,明日試験がありますから、今晩は勉強____ければなりません。,しな,すれ,し,して,A
321,16,"A:この本は月曜日までに_____ければなりませんか。
  B:はい、月曜日までに返して下さい。",返し,返さな,返れ,返ら,B
322,16,日本では、車は道の左側を_____なければなりませんから、大変です。,走り,走る,走ら,走れ,C
323,16,"A:これからカラオケに行きませんか。
  B:すみません。今日は早く_____なければならないんです。",帰り,帰れ,帰って,帰ら,D
324,16,明日は日曜日ですが、会社へ＿＿＿なければなりません。,行か,行き,行く,行け,A
325,16,このプールでは必ず帽子を＿＿＿＿なければなりません。,かぶり,かぶら,かぶれ,かぶって,B
326,16,"A:住所を＿＿＿＿なければなりませんか。
  B:いいえ、名前だけ書いて下さい。",書き,書いて,書か,書く,C
327,16,"A:これから一緒に映画に行きませんか。
  B:すみません。スピーチの準備を＿＿＿＿なければならないので。。。",する,す,して,し,D
328,16,留学するとき、ビザを＿＿＿＿なければなりません。,取ら,取り,取れ,取って,A
329,16,"A:すみません。この子のチケットも＿＿＿＿＿なくてはなりませんか。
  B:はい、子どもさんもチケットを買ってください。",買わ,買い,買え,買わな,A
330,16,今日は歯医者へ＿＿＿＿なくてはいけないので、お先に失礼します。,行き,行か,行く,行って,B
331,17,"A:土曜日に学校の教室を______もいいですか。
B:ええ、午前中は先生がいますから、使ってもいいですよ。",使い,使って,使う,使わ,B
332,17,"A:教室でお弁当を______いいですか。
  B:お弁当は食堂で食べて下さい。",食べても,食べるも,食べたも,食べると,A
333,17,"A:タバコを_______ですか。
B:すみません、ここでは吸わないでください。",吸てもいい,吸うてもいい,吸ってもいい,吸いてはいい,C
334,17,"A:一緒に_______ですか。
  B:すみません。今日はちょっと。。。",行いていい,行くもいい,行ったもいい,行ってもいい,D
335,17,作文を書くとき、辞書を＿＿＿もいいです。,使い,使って,使っ,使う,B
336,17,ここに車を＿＿＿＿もいいですか。,とめて,とまって,とまり,とまって,A
337,17,熱が無かったら、お風呂に＿＿もいいです。,入り,入いて,入って,入る,C
338,17,部屋の空気が悪いですから、窓を＿＿＿もいいですか。,開いて,開けて,開く,開き,B
339,17,このペンを＿＿＿もいいですか。,借って,貸して,借りる,借りて,D
340,18,私は日本人の友達にお菓子を＿＿＿＿＿。,やりました,くれま,あげました,いただきました,C
341,18,"A : このパン、たくさんあるから一つ＿＿＿＿＿。
B : ありがとう",もらった,くれた,あげるよ,くれたら,C
342,18,私は毎日うちの犬に餌を＿＿＿＿＿。,やります,もらいます,さしあげます,いただきます,A
343,18,"兄：これ、貰ったんだけど、使わないから、＿＿
弟：ありがとう。",あげた,やるよ,もらった,くれた,B
344,18,私は先生にお土産を＿＿＿＿＿＿,やりました,あたえました,さしあげました,くれました,C
345,18,"A:このカタログ、もらってもいいんですか。
B:はい。どうぞ。皆さんに＿＿＿＿＿＿＿",やっています,もらっています,いただいています,さしあげています。,D
346,18,妹がテストに合格したので、昨日妹にゲームを＿＿＿＿＿＿＿,買ってあげました,買ってもらいます,買っていただきました,買ってくれました,A
347,18,"A:佐藤さん、料理上手だね。
B:そう？また＿＿＿＿＿",作っているよ,作ってあげるね。,作ってもらうね,作ってくれるね,B
348,18,私は中国語を話せるので、昨日友達に中国語を＿＿＿＿＿＿。,教えてもらいました,教えています,教えてあげました。,教えていただきました,C
349,19,土曜日は学校へ______もいいです。,行け,行ける,行く,行かなくて,D
350,19,今日は涼しいですから、エアコンを______もいいです。,つけなくて,つけて,つける,つけない,A
351,19,私の国では家の中に入るとき、靴を______もいいです。,脱いで,脱がなくて,脱げる,脱げなくて,B
352,19,このプリントは宿題ではありませんから、＿＿＿＿＿もいいです。,出して,出す,出さなくて,出せなくて,C
353,19,明日は休みですから、朝早く＿＿＿＿＿もいいです。,起きて,起きられ,起きる,起きなくて,D
354,19,"A:このズボンも洗濯しますか。
B:それきれいだから、＿＿＿＿もいいですよ。",洗って,洗わなくても,洗う,洗えなくて,B
355,19,熱が下がったら、この薬を＿＿＿＿いいです。,飲む,飲んで,飲まなくて,飲める,C
356,19,嫌いだったら、_____かまいませんよ。,食べなくても,食べても,食べられても,食べられる,A
357,19,作文、上手に______かまいませんから、自分で書いて下さい。,書けないも,書けなくても,書けそうも,書く,B
358,20,風邪ですか。早く帰って、_____ほうがいいですよ,寝る,寝るの,寝た,寝ると,C
359,20,タバコは体に良くないから、______ほうがいいですよ。,吸っても,吸う,吸い,吸わない,D
360,20,"A:何か意見がありますか。
B:ゴミ箱が少なくて不便ですから、もう少し_____ほうがいいと思います。",増やした,増やして,増やす,増える,A
361,20,雨が降りそうだから、傘を＿＿＿＿ほうがいいですよ。,持って,持って行く,持って行った,持っていく,B
362,20,病気が治るまで、お酒は＿＿＿＿ほうがいいですよ。,飲んだ,飲まない,飲んでない,飲んだら,B
363,20,困ったときは一人で考えないで、家族や友達に＿＿＿ほうがいいですよ。,相談する,相談した,相談して,相談している,B
364,20,ここは駅の前で便利ですから、この駐車場に車を＿＿＿＿ほうがいいですよ。,止めた,止めない,止めたら,止めて,A
365,20,"A:テストの前は、たくさん勉強したほうがいいと思います。
B:そうですね。でも、テストのとき、眠くなったら困りますから、
前の日は早く＿＿＿＿＿ほうがいいと思います。",勉強した,寝た,勉強する,寝る,B
366,21,最近、目が悪かったので、メガネを_____ことにしました。,つける,かぶる,かける,着る,C
367,21,"A:大学を卒業したら、大学院に行くんですか。
B:いいえ、国へ_____ことにしました。",帰る,帰らない,帰って,帰った,A
368,21,"A:今日は午後から雪になりますよ。
B:じゃ、今日は______ことにします。うちで仕事をします。",出かける,出かけない,出かけるの,出かけられない,B
369,21,私は毎朝野菜ジュースを＿＿＿ことにしました。,飲んだ,飲むの,飲む,飲まない,C
370,21,毎朝５キロ＿＿＿＿ことにしました。,走った,走るの,走れた,走る,D
371,21,体重がふえたので、甘い物を＿＿＿＿ことにしました。,食べられた,食べる,食べない,食べた,C
372,21,お金がないので、毎日自分で料理を＿＿＿ことにしました,作らない,作る,作った,作るの,B
373,21,体に良くないので、タバコを＿＿＿＿ことにしました。,吸わない,吸う,吸った,吸える,A
374,22,私は一度アフリカへ_____ことがあります。,行ったこと,行った,行くこと,行く,B
375,22,私は一度も納豆を____ことがありません。,食べて,食べる,食べた,食べられ,C
376,22,私はニューヨークでミュージカルを____ことがあります。,見る,見て,見られた,見た,D
377,22,私は歌舞伎を＿＿＿＿ことがあります。,見た,見る,見て,見られ,A
378,22,私は日本の旅館に＿＿＿ことがあります。,泊まる,泊まった,泊まって,泊まれ,B
379,22,私は自動車の工場を＿＿＿ことがあります。,見学,見学して,見学した,見学し,C
380,22,チャンさんはまだ新幹線に＿＿＿ことがありません。,乗って,乗る,乗られて,乗った,D
381,22,マリアさんは、以前（いぜん）着物を＿＿＿ことがあります。,着る,着て,着た,着られ,C
382,22,先週富士山に＿＿＿＿＿＿。,登るつもりです,登ったことがあります,登ることがあります,登りました,D
383,22,今、私は新幹線に＿＿＿＿＿＿＿。,乗ったことがあります,乗ることがあります,乗るつもりです,乗っています,D
384,23,この料理はどうやって_____か、教えて下さい。,作ります,作るん,作る,作るそう,C
385,23,お土産は何が______か、聞きました。,いいです,いいん,いいそう,いい,D
386,23,田中さんはどこへ______か、知っていますか。昨日からいないんですよね。,行く,行って,行った,行ったん,C
387,23,佐藤さんの電話番号が_____か、忘れてしました。,いくつ,何番,何だ,何で,B
388,23,"A:試合は何時に始まりますか。
B:さあ。何時に＿＿＿か、わかりません。",始まる,始まった,始まります,始まって,A
389,23,"A:コピー、何枚必要ですか。
B:わかりません。何枚＿＿＿か、山田さんに聞いて下さい。",いる,必要,必要だ,必要の,B
390,23,"A:佐藤さん、今日、元気がありませんね。
B:そうですね。どうして元気が＿＿＿か、知っていますか。",ありません,ある,ない,なかった,C
391,23,"A:東京から成田空港までいくらでしたか。
B:いくら＿＿＿＿か、忘れました。",である,でした,であるの,だった,D
392,23,"A:今日のパーティー、誰が来ますか。
B:さあ、誰が＿＿＿＿か、私も知らないんです。",来た,来ます,来る,来たん,C
393,24,春に_____、桜が咲きます。,なるの,なると,なっても,なるなら,B
394,24,このボタンを____、きっぷが出ます。,押すと,押しても,押した,押すなら,A
395,24,この道をまっすぐ____と、銀行があります。,ある,行く,いる,見る,B
396,24,スーパーが_____と、不便です。,遠いの,遠かった,遠い,遠くて,C
397,24,いい______と、ここから富士山が見えます。,天気で,天気な,天気なら,天気だ,D
398,24,すぐ______と、間に合いませんよ。,行く,行くなら,行かない,行っても,C
399,24,パスポートが＿＿＿＿、外国に行けません。,なくて,ないと,なく,ないだろう,B
400,24,右に＿＿＿＿＿と、郵便局があります。,曲がる,曲がった,曲がって,曲がったの,A
401,24,雨が＿＿＿＿と、水が足りなくなります。,降る,降らない,降った,降るなら,B
402,24,このボタンを＿＿＿＿＿と、音が大きくなります。,押して,押すの,押す,押した,C
403,24,１００メートルぐらい歩いて橋を＿＿＿＿と、白い建物があります。,渡って,渡った,渡るの,渡る,D
404,24,＿＿＿＿＿＿と、仕事をするとき不便です。,パソコンが古い,古いパソコンを,古いパソコン,パソコンが古くて,A
405,25,東京の地下鉄は私の国の地下鉄＿＿＿＿便利です。,より,の方が,も,どっち,A
406,25,兄は私＿＿＿＿英語が上手です。,も,より,もっと,の方が,B
407,25,今日のテストは昨日＿＿＿＿やさしかったです。,テストより,のより,の方が,よりの,B
408,25,北海道は九州＿＿＿＿大きいです。,の方が,どっち,で,より,D
409,25,スカイツリーは東京タワー＿＿＿＿高いです。,が,の方が,より,も,C
410,25,姉は私＿＿＿＿髪が長いです。,の方が,より,の,で,B
411,26,私の家の前に学校ができました。＿＿＿学校には大きいプールがあります。,その,この,あの,どの,A
412,26,"A:デイズニーランドのパレードが新しくなりましたね。
B:そうですか。じゃ、＿＿＿＿パレードを一緒に見に行きませんか。",あの,その,この,どの,B
413,26,私は花屋で働いています。＿＿＿花屋はいつもきれいな花でいっぱいです。,それ,そっち,その,そこ,C
414,26,"A:昨日、駅前のレストランに行ってきました。
B:ああ、＿＿＿＿レストラン、安くて美味しいですよね。
C:へえ、そのレストラン、何という名前ですか。",あれ,あそこ,あっち,あの,D
415,26,"A:昨日登った山とても綺麗でした。
B:＿＿＿＿やま、どこにあるんですか。",あの,これ,その,どの,C
416,26,"A:新しい薬ができたそうです。
B:＿＿＿＿＿、何の薬ですか。",これ,それ,あれ,どれ,B
417,26,"A:昔、よく一緒に川で魚を釣ったね。
B:そうだったね。＿＿＿＿川、今でもあるかな？",あの,その,あれ,それ,A
418,26,"A:この間読んだ「山の上」という本、とても面白かったですよ。
B:そうですか。＿＿＿＿＿本、貸していただけませんか。",あの,その,この,おもしろい,B
419,27,小林さんはギターを_____が上手です。,弾きます,弾いたの,弾くの,弾く,C
420,27,宿題を_____を忘れました。,持ってきました,持ってきましたの,持ってきたの,持ってくるの,D
421,27,田中さんは野球が_______を知っていますか。,大好きだこと,大好きこと,大好きなの,大好きです,C
422,27,_____は楽しいですが、疲れます。,泳ぎました,泳ぐの,泳いで,泳いでいる,B
423,27,高橋さんが先月_______を知っていますか。,結婚したの,結婚するが,結婚するの,結婚したが,A
424,27,"A:何をするのが好きですか。
B:山に登る＿＿＿が好きです。",で,も,の,に,C
425,27,佐藤さんはいつも＿＿＿＿早いです。,運ぶを,運ぶのが,運ぶのを,運ぶのは,C
427,27,私はトイレを＿＿＿＿が嫌いです。,洗うこと,洗った,洗う,洗ったこと,A
428,27,昔一緒に海で＿＿＿覚えていますか。,泳ぐのが,泳ぐのを,泳いだのが,泳いだのを,D
429,27,"まんがを読む＿＿＿好きですが、
本を読む＿＿＿あまり好きではありません。",のは,のが,のに,のを,A
430,27,友達と＿＿＿＿は楽しいです。,旅行するの,にぎやかなの,旅行した,にぎやかったの,A
431,27,"A:あそこに＿＿＿＿誰ですか。
B:佐藤さんです。",いるのは,いたのは,いるのが,いたのが,A
432,27,"A:今日＿＿＿＿＿、どうしてですか。
B:電車の事故があったからです。",遅刻するのは,遅刻しするのが,遅刻したのは,遅刻したのが,C
433,27,"A:国へ＿＿＿＿のはいつですか。
B:来週です。",帰る,帰ります,帰らない,帰った,A
434,27,"A:アメリカへ＿＿＿のは、いつですか。
B:来年の４月です。",行く,行きます,行かない,行った,A
435,27,"A:小林さんが今一番＿＿＿＿のは、何ですか。
B:新しいゲームです。",ほしい,新しい,な,ゲーム,A
436,27,"A:タイで一番＿＿＿のは、どこですか。
B:パンコクです",にぎやか,にぎやかで,にぎやかな,にぎやかだ,C
437,27,"A:昨日学校を＿＿＿のは、どうしてですか。
B:お腹が痛かったらです。",休む,休んだ,休まない,休まなかった,B
Kai 438,27,日本語を勉強する＿＿＿は楽しいです。,は,けど,で,の,D
Kai 439,27,走る＿＿＿が好きです。,の,に,を,は,A
Kai 440,27,早く＿＿＿＿は大変です。,起きる,起きるの,起きたの,起きているの,B
Kai 441,27,友だちと＿＿＿＿＿は楽しいです。,話したの,話すの,話しての,話す,B
Kai 442,27,"A ; 何が好きですか。
B : _____が好きです。",音楽を聞くの,音楽を聞く,音楽を聞いて,音楽を聞いた,A
Kai 443,27,日本語を話す_____ができます。,の,こと,など,を,B
Kai 444,27,海外で働いた_____があります。,の,こと,を,は,B
Kai 445,27,来月から東京に引っ越す_____になりました。,は,こと,を,の,B
Kai 446,27,毎日30分、日本語を勉強する_____にします。,できる,こと,を,の,B
Kai 447,27,私の趣味は映画を見る_____です。,こと,の,できる,した,A
Kai 448,27,今日の宿題は、漢字を１０回書く＿＿＿です。,大変,難しい,こと,の,C
449,27,太郎くんが遊んでいる＿＿＿が見えます。,の,だ,こと,な,A
450,27,タバコを＿＿＿のを辞めた。,吸う,あきらめる,発見する,読む,A
451,27,あそこに＿＿＿誰ですか。,いるのは,いるのが,あるのは,あるのが,A
452,27,レストランが一番忙しい＿＿＿は昼の１２時から１時の間です。,こと,の,に,で,B
453,27,私は富士山に登った＿＿＿＿があります。,こと,の,ところ,あいだ,A
454,27,鈴木さんが歌っている＿＿＿＿＿が聞こえる。,こと,の,時間,場所,B
455,27,"A:ここで何をしているのですか。
B:佐藤さんが帰ってくる＿＿＿＿を待っているんです。",こと,の,時間,ところ,B
456,28,高山病院まで行く＿＿＿＿に１時間かかります。,こと,の,は,時間,B
457,28,これは卵を切る＿＿＿＿に使います。,包丁（ほうちょう）,こと,よう,の,D
458,28,学校へ持って行く＿＿＿ちょうどいい鞄が欲しいです。,の,のは,のに,のが,C
459,28,テレビは日本語を勉強する＿＿＿＿役に立つと思います。,ので,のに,のが,のを,B
460,28,結婚する＿＿＿＿新しい部屋を探しています。,のは,のが,のに,ので,D
461,28,結婚する＿＿＿＿どれくらいお金がいりますか。,のは,のが,のに,ので,C
462,28,この傘は軽くて小さい＿＿＿＿＿、旅行に持っていく＿＿＿＿＿いいですよ。,のに / のに,ので / ので,ので / のに,のに / ので,C
463,29,今夜ここでパーティーが＿＿＿＿＿。ぜひ来てください,開きます,開きました,開かれます,開けます,C
464,29,この歌は色々な国で＿＿＿＿＿。,歌います,歌いました,歌っています,歌われています,B
465,29,入学式は毎年４月に＿＿＿＿＿。,行ます,行わます,行われます,行わられます,C
466,29,日本酒は米から＿＿＿＿＿。,行われます,料理されます,作られます,飲まれます,C
Kai 467,29,この絵はゴッホによって＿＿＿＿＿。,描（か）きました,描いています,描けます,描かれました,D
Kai 468,29,この音楽プレーヤーはソニー＿＿＿＿＿作られました,という,こと,によって,だけど,C
Kai 469,29,東京ゲームショウはいつ、どこで＿＿＿＿＿。,開きますか,開かれますか,開いていますか,開けますか,B
Kai 470,29,この駅の工事は3月に終わると＿＿＿＿＿＿。,言います,言っています,言われています,言ったことがあります,C
Kai 471,29,この工場は去年＿＿＿＿＿。,建てます,建てれました,建てられました,建てられていました,C
Kai 472,29,日本からいろいろな国に車が輸出（ゆしゅつ）＿＿＿＿＿。,します,しされています,されています,られています,C
Kai 473,29,このお寺は東京でいちばん古いと＿＿＿＿＿＿います。,言あれて,言って,言えて,言われて,D
Kai 474,29,電話はベルという人＿＿＿＿発明（はつめい）されました。,をよって,がよって,によって,なよって,C
Kai 475,29,このルールは会社＿＿＿＿決められました。,による,によります,によって,によられて,C
Kai 476,29,これは社長によって＿＿＿＿＿。,決めました,決めたことがあります,決めれました,決められました,D
477,29,この工場は１９８０年に＿＿＿ました。,建てられ,建てて,建てれ,建ち,A
478,29,日本から色々な国へ車が＿＿＿＿います。,輸出して,輸出されて,買って,買,B
479,29,この音楽はAIによって＿＿＿＿＿。,作りました,作っていました,作られました,作れました,C
480,29,来月スピーチ大会を＿＿＿ます。,開き,開いて,開かれ,開けば,A
481,29,大きい試合の前にはいつも国歌が＿＿＿＿ます。,歌われ,歌い,歌って,歌え,A
482,29,この絵はいつ＿＿＿＿ましたか。,描かれ,描きれ,描くれ,描けれ,A
483,29,『こころ』は夏目漱石_______書かれました。,が,は,を,によって,D
484,29,電話は１８７６年にベル_______発明しました。,が,を,で,によって,A
485,29,ホームからおちた男性は駅員＿＿＿＿助けられました。,によって,によると,で,が,A
486,30,あ、財布が_______よ。誰のかな。,落ちます,落ちません,落ちています,落ちてもいいです,C
487,30,映画館の前に人がたくさん________ね。,並びます,並んでいます,並っています,並いでいます,B
488,30,あそこにタクシーが_______から、あのタクシーに乗りましょう。,待ちます,待つ,待っています,待くています,C
489,30,佐藤さんの部屋の電気が________よ,開いています,ついています,置いています,つけています,B
490,30,窓が _________。,割れています,割っています,割んでいます,割くています,A
491,30,カーテンが _________。,破れています,書いています,作っています,つけています,A
492,30,床が _________。,濡れています,水です,待っています,書いています,A
493,30,ドアが _______。,壊んでいます,壊れています,壊しています,壊てています,B
494,30,木が ________。,折れています,折ってています,折りています,折ったいます,A
495,31,"A:犬の____がしますね。
B:ああ、隣の家に犬がいますから。",音,声,におい,味,B
496,31,"A:ここは変な_____がしますね
B:ああ、これは温泉のにおいですよ。",音,声,におい,味,C
497,31,A:あ、佐藤さんの＿＿＿がするよ。B:そうだね。誰と話しているのかな。,味,におい,音,声,D
498,31,"A:ただいま。ああ、いい＿＿＿がするね。
B:うん。今夜はカレーライスだよ。",におい,声,味,音,A
499,31,"A:このアイスクリーム、お酒の＿＿＿がしますね。
B:ええ、よく分かりましたね。日本酒入っているんですよ。",声,味,におい,音,B
500,31,"A:ねえ。隣の部屋から電話の＿＿＿がするよ。
B:え？隣には誰も住んでいないのに、変だね。",におい,声,音,味,C
Kai 501,26,"A：昨日、新しい日本語アプリを使ってみたよ。
B：へえ、＿＿＿、どうだった？",これ,それ,あれ,その,B
Kai 502,26,"A：田中さんが紹介してくれたカフェ、行った？
B：うん、＿＿＿カフェ、すごく静かだったよ。",その,あれ,これ,あの,A
Kai 503,26,"A：前に一緒に見たアニメ、覚えてる？
B：ああ、＿＿＿ね。面白かったよね。",それ,その,あの,あれ,D
504,31,演奏の____がする,味,におい,音,声,D
505,31,＿＿＿＿がする,足音,声,におい,味,A
506,31,＿＿＿＿音がする,変に,変な,変だ,変の,B
508,31,＿＿＿＿がしない,音,声,におい,味,D
512,32,ちょうど今、子供が_____ところですから、静かにしてください。,寝る,寝ている,寝そう,寝た,D
513,32,"A:上田さん、コビー機、使っていいですか？
B:ええ、どうぞ。ちょうど＿＿＿ところです",終わった,終わる,終わっている,終わって,A
514,32,A:レポートできましたか。B:今＿＿＿＿ところです。あと半分くらいです。,書く,書いている,書いた,書こう,B
515,32,"A：今どこ？
B：駅。電車を＿＿＿＿ところ。今から行くね。",待つ,待った,待っている,待とう,C
516,32,"A：もしもし、大山さん、今どこですか。
B：これから会社を＿＿＿＿ところです。",出た,出ている,出よう,出る,D