question_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,褒める,褒めば,褒めたら,褒めるば,褒めれば,D
2,誘う,誘うば,誘えば,誘わば,誘いたら,B
3,助ける,助けらば,助けるば,助ければ,助けたば,C
4,頼む,頼めば,頼みば,頼んだら,頼むば,A
5,招待する,招待しらば,招待すれば,招待したば,招待するば,B
6,ある,あるば,あったら,あれれば,あれば,D
7,いる,いれば,いるば,いたら,いれれば,A
8,行く,行きば,行ったら,行けば,行くば,C
9,来る,来たら,来れば,来ればば,来るば,B
10,帰る,帰りば,帰ったら,帰るば,帰れば,D
11,見る,見れば,見るば,見たら,見れれば,A
12,聞く,聞きば,聞いたら,聞けば,聞くば,C
13,話す,話しらば,話せば,話したら,話すば,B
14,言う,言わば,言ったら,言うば,言えば,D
15,読む,読めば,読みば,読んだら,読むば,A
16,書く,書きば,書いたら,書けば,書くば,C
17,食べる,食べたら,食べれば,食べるば,食べればば,B
18,飲む,飲みば,飲んだら,飲むば,飲めば,D
19,寝る,寝れば,寝るば,寝たら,寝ればば,A
20,起きる,起きたら,起きれれば,起きれば,起きるば,C
21,する,したば,すれば,したら,しらば,B
22,勉強する,勉強したば,勉強しらば,勉強するば,勉強すれば,D
23,働く,働けば,働きば,働いたら,働くば,A
24,休む,休んだら,休みば,休めば,休むば,C
25,会う,会わば,会えば,会ったら,会うば,B
26,買う,買わば,買ったら,買うば,買えば,D
27,売る,売れば,売りば,売ったら,売るば,A
28,作る,作りば,作ったら,作れば,作るば,C
29,使う,使わば,使えば,使ったら,使うば,B
30,泳ぐ,泳ぎば,泳いだら,泳ぐば,泳げば,D
31,遊ぶ,遊べば,遊びば,遊んだら,遊ぶば,A
32,歌う,歌わば,歌ったら,歌えば,歌うば,C
33,待つ,待ちば,待てば,待ったら,待つば,B
34,立つ,立たば,立ったら,立つば,立てば,D
35,座る,座れば,座りば,座ったら,座るば,A
36,歩く,歩きば,歩いたら,歩けば,歩くば,C
37,走る,走りば,走れば,走ったら,走るば,B
38,入る,入りば,入ったら,入るば,入れば,D
39,出る,出れば,出たら,出るば,出れれば,A
40,開ける,開けたら,開けるば,開ければ,開ければば,C
41,開く,開いたら,開くば,開けば,開きば,C
42,閉める,閉めれば,閉めるば,閉めたら,閉めればば,A
43,閉まる,閉まりば,閉まれば,閉まったら,閉まるば,B
44,見せる,見せば,見せたら,見せるば,見せれば,D
45,貸す,貸せば,貸しらば,貸したら,貸すば,A
46,借りる,借りたら,借りれば,借りるば,借りれれば,B
47,教える,教えば,教えたら,教えれば,教えるば,C
48,習う,習わば,習ったら,習うば,習えば,D
49,分かる,分かれば,分かりば,分かったら,分かるば,A
50,分ける,分けたば,分ければ,分けるば,分けたら,B
51,忘れる,忘れたら,忘れるば,忘れれば,忘れればば,C
52,覚える,覚えればば,覚えれば,覚えるば,覚えれば,D
53,要る,要れば,要りば,要ったら,要るば,A
54,置く,置きば,置けば,置いたら,置くば,B
55,切る,切ったら,切りば,切れば,切るば,C
56,消す,消したら,消すば,消しらば,消せば,D
57,消える,消えれば,消えるば,消えたら,消えればば,A
58,押す,押しらば,押せば,押したら,押すば,B
59,引く,引きば,引いたら,引けば,引くば,C
60,乗る,乗りば,乗ったら,乗るば,乗れば,D
61,降りる,降りれば,降りるば,降りたら,降りれれば,A
62,着る,着たら,着れば,着るば,着れれば,B
63,脱ぐ,脱ぎば,脱いだら,脱げば,脱ぐば,C
64,洗う,洗わば,洗ったら,洗うば,洗えば,D
65,掃除する,掃除すれば,掃除するば,掃除したば,掃除しらば,A
66,洗濯する,洗濯したば,洗濯すれば,洗濯するば,洗濯しらば,B
67,晴れる,晴れたら,晴れるば,晴れれば,晴れればば,C
68,降る,降りば,降ったら,降るば,降れば,D
69,始まる,始まれば,始まりば,始まったら,始まるば,A
70,終わる,終わりば,終われば,終わったら,終わるば,B
71,返す,返したら,返すば,返せば,返しらば,C
72,撮る,撮りば,撮ったら,撮るば,撮れば,D
73,取る,取れば,取りば,取ったら,取るば,A
74,持つ,持ちば,持てば,持ったら,持つば,B
75,持って行く,持って行きば,持って行ったら,持って行けば,持って行くば,C
76,持って来る,持って来たら,持って来るば,持って来ればば,持って来れば,D
77,分かれる,分かれれば,分かれるば,分かれたら,分かれればば,A
78,困る,困りば,困れば,困ったら,困るば,B
79,死ぬ,死にば,死んだら,死ねば,死ぬば,C
80,曲がる,曲がりば,曲がったら,曲がるば,曲がれば,D
81,鳴く,鳴けば,鳴きば,鳴いたら,鳴くば,A
82,笑う,笑わば,笑えば,笑ったら,笑うば,B
83,泣く,泣きば,泣いたら,泣けば,泣くば,C
84,探す,探しらば,探したら,探すば,探せば,D
85,住む,住めば,住みば,住んだら,住むば,A
86,吸う,吸わば,吸えば,吸ったら,吸うば,B
87,聞こえる,聞こえたら,聞こえるば,聞こえれば,聞こえればば,C
88,見える,見えたら,見えるば,見えればば,見えれば,D
89,立てる,立てれば,立てるば,立てたら,立てればば,A
90,入れる,入れたば,入れれば,入れるば,入れたら,B
91,出す,出したら,出すば,出せば,出しらば,C
92,見つける,見つけたば,見つけるば,見つけたら,見つければ,D
93,かかる,かかれば,かかりば,かかったら,かかるば,A
94,頑張る,頑張りば,頑張れば,頑張ったら,頑張るば,B
95,練習する,練習したば,練習しらば,練習すれば,練習するば,C
96,散歩する,散歩しらば,散歩したば,散歩するば,散歩すれば,D
97,結婚する,結婚すれば,結婚するば,結婚したば,結婚しらば,A
98,旅行する,旅行したば,旅行すれば,旅行するば,旅行しらば,B
99,有る,有ったら,有るば,有れば,有れれば,C
100,成る,成りば,成ったら,成るば,成れば,D
101,要る,要れば,要りば,要ったら,要るば,A
102,頑張る,頑張りば,頑張れば,頑張ったら,頑張るば,B
103,練習する,練習したば,練習しらば,練習すれば,練習するば,C
104,散歩する,散歩しらば,散歩したば,散歩するば,散歩すれば,D
105,結婚する,結婚すれば,結婚するば,結婚したば,結婚しらば,A
106,旅行する,旅行したば,旅行すれば,旅行するば,旅行しらば,B
107,有る,有ったら,有るば,有れば,有れれば,C
108,成る,成りば,成ったら,成るば,成れば,D