question,choice_a,choice_b,choice_c,choice_d,answer
消す,消いて,消って,消して,消て,C
引く,引いて,引て,引って,引んで,A
入る,入て,入んで,入いて,入って,D
持って来る,持って来って,持って来て,持って来いて,持って来んで,B
走る,走て,走いて,走って,走んで,C
待つ,待って,待て,待いて,待んで,A
開く,開て,開いて,開って,開んで,C
覚える,覚えまない,覚えない,覚えらない,覚えるない,B
待つ,待てない,待つない,待たない,待ちない,C
晴れる,晴れまない,晴れない,晴れらない,晴れるなない,B
吸う,吸えない,吸わない,吸いなない,吸おない,B
教える,教えまない,教えらない,教えるない,教えない,D
晴れる,晴れまない,晴れない,晴れらない,晴れるなない,B
使う,使えます,使あます,使おます,使います,D
帰る,帰て,帰って,帰いて,帰んで,B
走る,走て,走いて,走って,走んで,C
要る,要んで,要いて,要て,要って,D
覚える,覚えまない,覚えない,覚えらない,覚えるない,B
晴れる,晴れまない,晴れない,晴れらない,晴れるなない,B
持って来る,持って来って,持って来て,持って来いて,持って来んで,B
走る,走て,走いて,走って,走んで,C
教える,教えまない,教えらない,教えるない,教えない,D
吸う,吸えない,吸いない,吸わない,吸おない,C
要る,要んで,要いて,要て,要って,D
出す,出した,出しった,出てた,出いた,A
会う,会てた,会った,会った,会いた,B
あるき＿＿＿＿ながら、友だちと話しました。,ます,ましょう,いて,ながら,D
このへやは（ ）。 もっとひろいへやがほしいです。,a. おおきいです,b. おおきくありません,c. きれいです,d. あめです,B
これはあなたのかばん（ ）。,ね,よ,か,を,C
"A: もうその映画を見ましたか。
B: いいえ、まだ＿＿＿＿。",見ていません,見ました,見ています,見ないです,A
きのうは（ ）。 さんぽができませんでした。,おおきいです,きれいです,あめです,きれいじゃありません,C
おなかがすきました＿＿、ごはんがありません。,けど,ので,から,でも,A
"A:どうしたんですか。
B: 蝶と気分が＿＿＿んです。",悪て,悪んで,悪くない,悪い,D
読む,読った,読でた,読んた,読んだ,D
泳ぐ,泳いた,泳でた,泳いだ,泳った,C
習う,習った,習いた,習てた,習んだ,A
飲む,飲んだ,飲んだ,飲んだ,飲んだ,A
私の家は駅から＿＿＿＿＿ので、不便です。,遠い,遠な,遠くて,遠く,A
パソコンが＿＿＿＿＿ので、新しいのを買いました。,こわれる,こわれない,こわれて,こわれた,D
新しいアプリが便利かどうか、まず＿＿＿。,使ってみてください,使ってくださいみる,使みてください,使ってくださってみる,A
"A:どうしたんですか。
B: 蝶と気分が＿＿＿んです。",悪て,悪んで,悪くない,悪い,D
この靴を買う前に、＿＿＿ほうがいいですよ。,はいてみた,はくてみた,はいてみる,はくてみる,A
この靴を買う前に、＿＿＿ほうがいいですよ。,はいてみた,はくてみた,はいてみる,はくてみる,A
あたらしいゲームを＿＿＿＿。,やるみましょう,やってみましょう,やるみてください,やったみましょう,B
そのシャツを＿＿＿＿。,きてみます,きるみる,きるみます,きってみます,A
あの人はかぜをひいていて、＿＿＿＿。,元気そうです,つまらなさそうです,つらそうです,痛そうです,C
これは何をするためのボタン＿＿＿＿？,なんですか,ですんですか,なんですんか,んですか,A
"A：料理あまりしないんですか？
B：はい。＿＿＿＿＿。",下手んです,下手だんです,下手なんです,下手だったんです,C
"A：大丈夫ですか？どうしたんですか？
B：＿＿＿＿＿＿＿。",トイレんです,トイレに行くんです,トイレに行ったんです,トイレに行きたいんです,D
"A:どうしたんですか。
B: 蝶と気分が＿＿＿んです。",悪て,悪んで,悪くない,悪い,D
"A：どうして＿＿＿＿＿んですか？
B：すみません、寝坊しました。",来る,来ない,来た,来なかった,D
"A：大丈夫ですか？どうしたんですか？
B：＿＿＿＿＿＿＿。",頭が痛いだんです,頭が痛いなんです,頭が痛んです,頭が痛いです,D
トイレは＿＿＿＿＿。,どこであるんですか,どこであるなんですか,どこにあるんですか,どこにあるなんですか,C
"A：これ、先生に渡す＿＿＿＿？
B：はい、プレゼントなんです",プレゼントんですか,プレゼントなんですか,プレゼントますか,プレゼントんです,B
これは何をするためのボタン＿＿＿＿？,なんですか,ですんですか,なんですんか,んですか,A
"A：料理あまりしないんですか？
B：はい。＿＿＿＿＿。",下手んです,下手だんです,下手なんです,下手だったんです,C
"A：今日は早く＿＿＿＿？
B：はい、病院に行きます。",帰るんですか,行くんですか,帰りますんですか,行きますんですか,A
"A：大丈夫ですか？どうしたんですか？
B：＿＿＿＿＿＿＿。",頭が痛いだんです,頭が痛いなんです,頭が痛んです,頭が痛いです,D
"A：明日カラオケ行きませんか？
B：あっ、明後日＿＿＿＿＿＿。",テストがあるんです,テストが終わったんです,テストがあるです,テストが終わるです,A
トイレは＿＿＿＿＿。,どこであるんですか,どこであるなんですか,どこにあるんですか,どこにあるなんですか,C
"A：今日は早く＿＿＿＿？
B：はい、病院に行きます。",帰るんですか,行くんですか,帰りますんですか,行きますんですか,A
"A：もしよかったら、週末遊びませんか？
B：あっ、＿＿＿＿＿＿＿。",予定んです,予定なんです,予定があるんです,予定がいるんです,C
"A：今日は早く＿＿＿＿？
B：はい、病院に行きます。",帰るんですか,行くんですか,帰りますんですか,行きますんですか,A
"A：もしよかったら、週末遊びませんか？
B：あっ、＿＿＿＿＿＿＿。",予定んです,予定なんです,予定があるんです,予定がいるんです,C
"A：大丈夫ですか？どうしたんですか？
B：＿＿＿＿＿＿＿。",頭が痛いだんです,頭が痛いなんです,頭が痛んです,頭が痛いです,D
"A：暑そうですね。エアコンを＿＿＿＿＿？
B：こわれているんです。",つけるんですか,つけないんですか,つけんですか,つけなんですか,B
カレーの＿＿＿＿を教えてください。,作る方,作り方,作ろ方,作れ方,B
フランス語の発音の＿＿＿＿は難しいです。,話し方,言い方,仕方,書き方,C
Macbookは＿＿＿＿が簡単で、とてもべんりですよ。,使い方,使う方,使え方,使お方,A
お金を＿＿＿＿ので、財布をさがしています。,落とす,落としています,落として,落とした,D
＿＿＿＿ので、急ぎます。,ひまな,時間がない,好きな,雨,B
ちょっと＿＿＿＿ので、今日は早く帰ります。,具合がいい,具合が悪い,具合がよかった,具合が悪かった,B
＿＿＿＿ので、電気をつけました。,明るい,暗い,明るいな,暗いな,B
"A：大丈夫ですか？どうしたんですか？
B：＿＿＿＿＿＿＿。",頭が痛いだんです,頭が痛いなんです,頭が痛んです,頭が痛いです,D
田中さんは＿＿＿＿＿できます,フランス語を,フランス語が,フランス語に,フランス語で,A
インターネットでホテル＿＿＿＿きます。,予約する,予約できます,予約ができる,予約をするで,D
田中さんは＿＿＿＿＿できます,フランス語を,フランス語が,フランス語に,フランス語で,A
明日一緒にカラオケに＿＿＿＿かどうか、友達に電話して聞いてみます。,行く,行きます,行って,行った,B
財布を_____、出かけました。,持たなくて,持って,持ちないで,持たないで,D
その料理が____かどうか、食べてみます,美味しい,美味しかった,美味しくない,美味しく,C
雨の日傘を_____学校に行きます。,さして,かぶって,はいて,して,A
シートベルトをして_____下さい。,運転して,運動して,運んで,動いて,A
傘を _____ 歩いている人がいます。,さして,ささないで,ささなくて,さしないで,B
この仕事、明日までに＿＿＿＿かどうか分かりませんが、やってみましょう。,できる,できます,できません,できた,D
彼が_____かどうか教えてください。,来ます,来る,来て,来た,B
暑かったので窓を_____寝ました。,閉めて,開けて,開いて,消して,B
寒い日はコートを_____学校に行きます。,かぶって,着て,はいて,して,B
私の日本語が＿＿＿＿＿かどうか、先生に聞いてみます。,上手です,上手か,上手かどうか,上手だった,C
疲れたので、シャワーを _____ 寝ました。,あびないで,あびなくて,あばないで,あびて,A
山田さんは英語を＿＿＿＿＿できます,読んで,読みます,読むことが,読んだ,A
私はパソコンを＿＿＿＿＿できます,作ることが,使うことが,作ってが,作った,B
この店ではクレジットカードが＿＿＿＿＿できます,使います,使うことが,使って,使った,A
あの図書館、日曜日が＿＿＿＿＿かどうか、知っていますか。,休む,休み,休んだ,休んで,A
私の日本語が＿＿＿＿＿かどうか、先生に聞いてみます。,上手です,上手,上手かどうか,上手だった,B
暑い日は帽子を_____学校に行きます。,かぶって,着て,はいて,して,A
財布を_____、出かけました。,持たなくて,持って,持ちないで,持たないで,D
下の絵を_____答えて下さい。,見えて,見せて,見て,見ないで,C
辞書を_____、作文を書きます。,使わなくて,使いないで,使って,使わないで,D
下の絵を_____答えて下さい。,見えて,見せて,見て,見ないで,C
この仕事は昼休みまでに＿＿＿＿しまいたいと思います。,やる,やって,やった,やってない,B
財布を________、出かけました,持てない,持たないで,持てなかった,持てる,B
疲れたので、シャワーを _____ 寝ました。,あびないで,あびなくて,あばないで,あびて,A
料理の材料や飲み物は、このスーパーで全部＿＿＿＿＿しまいましょう。,買う,書いた,買いって,買って,D
明日試験が_____、寝ないで勉強します。,あって,あるので,あるのに,あれば,B
冷蔵庫のジュースは全部＿＿＿＿しまいました。,飲んで,飲む,飲んだ,飲みました,A
傘を _____ 歩いている人がいます。,さして,ささないで,ささなくて,さしないで,B
その話が_____かどうか、分かりません。,本当だ,本当だった,本当,本当だったら,C
その料理が____かどうか、食べてみます,美味しい,美味しかった,美味しくない,美味しく,C
財布を________、出かけました,持てない,持たないで,持てなかった,持てる,B
私の日本語が＿＿＿＿＿かどうか、先生に聞いてみます。,上手です,上手か,上手かどうか,上手だった,C
この仕事、明日までに＿＿＿＿かどうか分かりませんが、やってみましょう。,できる,できます,できません,できた,D
あの図書館、日曜日が＿＿＿＿＿かどうか、知っていますか。,休む,休み,休んだ,休んで,B
私の日本語が＿＿＿＿＿かどうか、先生に聞いてみます。,上手です,上手か,上手,上手だった,C
カレーの＿＿＿＿を教えてください。,作る方,作り方,作ろ方,作れ方,B
お金を＿＿＿＿ので、財布をさがしています。,落とす,落としています,落として,落とした,D
"A：料理あまりしないんですか？
 B：はい。＿＿＿＿＿。",下手んです,下手だんです,下手なんです,下手だったんです,C
暑い日は帽子を_____学校に行きます。,被って,着て,はいて,して,A
冷蔵庫のジュースは全部＿＿＿＿しまいました。,飲んで,飲む,飲んだ,飲みました,A
鈴木さんはピアノが＿＿＿＿。,弾かれます,弾けます,弾けません,弾くません,B
コンビャーターが＿＿＿＿＿＿,使える,使えまする,使われられます,使うません,A
インターネットで、いつも新しい歌が（聞けますー聞こえます）,聞こえます,聞かれます,聞けるます,聞けます,D
このイラストは５時までに______と思っています。,書いた,書く,書いてしまいたい,書いたい,C
A:この図書館、雑誌も＿＿＿＿＿＿＿。\nB:ええ、古い雑誌は大丈夫ですよ,借りられます,借りますか,借りれますか,借りられますか,D
あの図書館、日曜日が＿＿＿＿＿かどうか、知っていますか。,休む,休み,休んだ,休んで,B
傘を _____ 歩いている人がいます。,差して,差さないで,差さなくて,差さないで,B
あのビール工場はいつでも＿＿＿＿＿。,見学します,見学られません,見学できます,見学できられる,C
インターネットで、いつも新しい歌が（聞けますー聞こえます）,聞こえます,聞かれます,聞けるます,聞けます,D
財布を________、出かけました,持てない,持たないで,持てなかった,持てる,B
車が運転_______。,運転します,運転ません,運転しない,できます,D
見学のレポートは昨日＿＿＿＿しまいました。,書いた,書く,書いて,書かない,C
A:この図書館、雑誌も＿＿＿＿＿＿＿。\nB:ええ、古い雑誌は大丈夫ですよ,借りられます,借りますか,借りれますか,借りられますか,D
ここで写真が______。,撮れません,撮れます,撮れるます,撮れない,B
"A:風邪をひいりる_____、仕事に行くんですか。
 B: ええ、会議かあるので休めないんです。",のに,なのに,ので,だから,A
駅から___歩いて行きましょう。,近くて,近いと,近くなれば,近かったら,D
日本でけいたいを買いたいです。どこへ＿＿＿＿＿＿＿。,いったらいいですか,いきますか,いってもいいですか,いきましょう,A
これはどうやって＿＿＿＿＿らいいですか。,つかう,つかわない,つかって,つかった,D
車が運転_______。,運転します,運転ません,運転しない,できます,D
雨が急に降って、服がぬれ＿＿＿＿。,ておく,てしまいました,ていった,てまいました,B
あのビール工場はいつでも＿＿＿＿＿。,見学します,見学られません,見学できます,見学できられる,C
無料というのは、お金が＿＿＿＿＿＿です。,意味といういらない,いらない意味という,いらないという意味,という意味,C
ナイアガラという＿＿＿＿＿＿＿をしっていますか。,都市,川,場所,国,C
コンビャーターが＿＿＿＿＿＿,使える,使えまする,使われられます,使うません,A
"A:この本は月曜日までに_____ければなりませんか。
 B:はい、月曜日までに返して下さい。",返し,返さな,返れ,返ら,B
"A:住所を＿＿＿＿なければなりませんか。
 B:いいえ、名前だけ書いて下さい。",書き,書いて,書か,書く,C
私は漢字が１００字＿＿＿＿。,書けます,書かれます,書けまする,書くません,A
"A:先生、この三角はどう＿＿＿＿＿＿＿
 B:答えがちょっとちがういう意味です。",どいう意味です。,という意味です。,どいう意味ですか。,という意味ですか。,C
私は毎日母に＿＿＿＿＿ています。,起き,起こし,起こされ,起こさせて,C
私は＿＿＿＿＿＿＿＿＿＿を飼っています。,犬ボブ,ボブ犬,犬というボブ,ボブという犬,D
疲れていたので、ソファで寝＿＿＿＿＿しまいました。,て,た,る,ない,A
日本でけいたいを買いたいです。どこへ＿＿＿＿＿＿＿。,いったらいいですか,いきますか,いってもいいですか,いきましょう,A
スマホを水に＿＿＿＿＿しまいました。,おとす,おとして,おとした,おとさない,B
タクシーの中にかばんを＿＿＿＿＿しまいました。,わすれる,わすれて,わすれた,わすれます,B
この牛乳は＿＿＿＿＿＿よ。,飲めらません,飲めません,飲められません,飲めれません,B
疲れていたので、ソファで寝＿＿＿＿＿しまいました。,て,た,る,ない,A
必要なものは全部モールで買って_____________。,しまいましょう,しまいしょう,しましょう,してしまいましょう,A
スマホを水に＿＿＿＿＿しまいました。,おとす,おとして,おとした,おとさない,B
このイラストは５時までに______と思っています。,書いた,書く,書いてしまいたい,書いたい,C
料理が＿＿＿＿＿ら、呼んでください。,した,できた,する,できる,B
ねつが＿＿＿＿＿＿、学校を休んでください。,でるら,でったら,でたら,でてら,C
私は漢字が１００字＿＿＿＿。,書けます,書かれます,書けまする,書くません,A
２０歳なので、車に＿＿＿＿＿＿。,乗られます,乗ります,乗れます,できます,C
ここで写真が______。,撮れません,撮れます,撮れるます,撮れない,B
ジムをいつでも＿＿＿＿＿＿＿。,見学します,見学するできます,見学できます,見学してできます,C
このカメラは水の中でも＿＿＿＿＿。,とります,とられます,とれます,とらます,C
コンビューターが＿＿＿＿＿＿,使える,使えまする,使われられます,使うません,A
家の息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗られます,D
"A:この図書館、雑誌も＿＿＿＿＿＿＿。
B:ええ、古い雑誌は大丈夫ですよ",借りられます,借りますか,借りれますか,借りられますか,D
"A:明日の朝７時に会社に＿＿＿＿か。
B:はい、分かりました。",来るます,来れません,来られます,来れない,C
"A:この図書館、雑誌も＿＿＿＿＿＿＿。
B:ええ、古い雑誌は大丈夫ですよ",借りられます,借りますか,借りれますか,借りられますか,D
２０歳なので、車に＿＿＿＿＿＿。,乗られます,乗ります,乗れます,できます,C
家の息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗られます,D
無料というのは、お金が＿＿＿＿＿＿です。,意味といういらない,いらない意味という,いらないという意味,という意味,C
"A : 節約とは何ですか？
B : お金を大切にする＿＿＿＿＿＿です",という意味,という物,というお金,という何,A
このカメラは水の中でも＿＿＿＿＿。,とります,とられます,とれます,とらます,C
この漢字、どうやって＿＿＿＿＿＿＿＿＿。,よんだらいいですか,よんでいいですか,よんでもいいですか,よんではいけません,A
料理の材料や飲み物は、このスーパーで全部＿＿＿＿＿しまいましょう。,買う,書いた,買いって,買って,D
家の息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗られます,D
このカメラは水の中でも＿＿＿＿＿。,とります,とられます,とれます,とらます,C
家の息子は４歳ですが、自転車に＿＿＿＿。,乗られまする,乗れまする,乗れません,乗られます,D
これは折り紙という日本の＿＿＿＿＿です。,遊び,遊ぶ,遊びます,遊んで,A
私は上田さんに「何が好き？」と＿＿＿＿ました。,聞き,聞いて,聞こえ,聞かれ,D
"A:住所を＿＿＿＿なければなりませんか。
 B:いいえ、名前だけ書いて下さい。",書き,書いて,書か,書く,C
知らない人に道を＿＿＿＿＿＿。,頼みました,頼まれました,頼ませました,頼りられました,B
ピアノが上手に弾けたので、先生に________。,褒めました,褒めていました,褒めさせました,褒められました,D
来週、東京で国際会議が＿＿＿＿＿＿。,開かれます,開きます,開かせます,開けられます,A
授業中に寝ていたので、先生に＿＿＿＿＿＿。,叱られました,叱りました,叱らせました,叱りられました,A
この小説は有名な作家によって＿＿＿＿＿＿。,書かれました,書きました,書かせました,書きられました,A
部長に急な仕事を＿＿＿＿＿＿、残業することになった。,頼ませた,頼んだ,頼まれた,頼られた,C
週末、友達に映画に＿＿＿＿＿＿。,誘われました,誘いました,誘わせました,誘られました,A
友人の結婚式に＿＿＿＿＿＿。,招待しました,招待させました,招待されました,招待られました,C
あの子は雨が降っているのに外で遊んでいます,で,だから,ので,のに,D
このペンを＿＿＿もいいですか。,借って,貸して,借りる,借りて,D
熱が無かったら、お風呂に＿＿もいいです。,入り,入いて,入って,入る,C
兄：これ、貰ったんだけど、使わないから、＿＿＿＿弟：ありがとう。,あげた,やるよ,もらった,くれた,B
A:テストの前は、たくさん＿＿＿ほうがいいと思います。B:そうですね。でも、テストのとき、眠くなったら困りますから、前の日は早く＿＿＿＿＿ほうがいいと思います。,勉強した,寝た,勉強する,寝る,B
困ったときは一人で考えないで、家族や友達に＿＿＿ほうがいいですよ。,相談する,相談した,相談して,相談している,D
雨が降りそうだから、傘を＿＿＿＿ほうがいいですよ。,持って,持って行く,持って行った,持っていく,B
土曜日は学校へ______れもいいです,行け,行ける,行く,行かなくても,D
このプリントは宿題ではありませんから＿＿＿＿＿もいいです。,出して,出す,出さなくても,出せなくて,C
私の国では家の中に入るとき、靴を______もいいです。,脱いで,脱がなくて,脱げる,脱げなくて,B
このペンを＿＿＿もいいですか。,借って,貸して,借りる,借りて,D
私は昨日妹にゲームを＿＿＿＿＿＿＿,買ってあげました,買ってもらいました,買っていただきました,買ってやりました,A
私は先生に国のお土産を＿＿＿＿＿＿,やりました,あげました,さしあげました。,いただきました,C
A:このカタログ、もらってもいいんですか。B:はい。どうぞ。皆さんに＿＿＿＿＿＿＿,やっています,あげています,いただいています,さしあげています。,D
私は先生に国のお土産を＿＿＿＿＿＿,やりました,あげました,さしあげました。,いただきました,C
A:このカタログ、もらってもいいんですか。B:はい。どうぞ。皆さんに＿＿＿＿＿＿＿,やっています,あげています,いただいています,さしあげています。,D
病気が治るまで、お酒は＿＿＿＿ほうがいいですよ。,飲んだ,飲まない,飲んでない,飲んだら,B
作文、上手に______もかまいませんから、自分で書いて臭い。,書けなくて,書けなくても,書けそうも,書く,B
私の国では家の中に入るとき、靴を______もいいです。,脱いで,脱がなくて,脱げる,脱げなくて,B
熱が下がったら、この薬を＿＿＿＿もいいです。,飲む,飲んで,飲まなくても,飲める,C
困ったときは一人で考えないで、家族や友達に＿＿＿ほうがいいですよ。,相談する,相談した,相談して,相談している,D
"兄：これ、貰ったんだけど、使わないから、＿＿＿＿
弟：ありがとう。",あげた,やるよ,もらった,くれた,B
A:このズボンも洗濯しますか。B:それ＿＿＿＿もいいです。,洗って,洗わなくても,洗う,洗えなくて,B
私は昨日妹にゲームを＿＿＿＿＿＿＿,買ってあげました,買ってもらいました,買っていただきました,買ってやりました,A
困ったときは一人で考えないで、家族や友達に＿＿＿ほうがいいですよ。,相談する,相談した,相談して,相談している,B
このペンを＿＿＿もいいですか。,借って,貸して,借りる,借りて,D
タバコを＿＿＿＿ことにしました。,吸わない,吸う,吸った,吸える,A
最近、目が悪かったので、メガネを_____ることにしました。,つける,する,掛ける,かける,C
最近、目が悪かったので、メガネを_____ことにしました。,つける,する,掛ける,かける,C
日本では、車は道の左側を_____なければなりませんから、大変です。,走り,走る,走ら,走れ,C
リンさんは歌が上手＿＿＿＿、皆の前で歌いません。,なのに,ので,だから,のに,A
この小説は有名な作家によって＿＿＿＿＿＿。,書かれました,書きました,書かせました,書きられました,A
毎日自分で料理を＿＿＿ことにしました,作らない,作る,作った,作るの,B
佐藤さんの電話番号は_____か、忘れてしました。,いくつ,何番,何だ,何で,B
いい______と、ここから富士山が見えます。,天気で,天気な,天気なら,天気だ,D
すぐ______と、間に合いまによ,行く,行くなら,行かない,行っても,C
私は一度も納豆を____ことがありません。,食べて,食べる,食べた,食べられ,C
＿＿＿＿＿＿と、仕事をするとき不便です。,パソコンが古い,古いパソコンを,古いパソコン,パソコンが古くて,C
私は日本の旅館に＿＿＿ことがあります。,泊まる,泊まった,泊まって,泊まれ,B
"A:テストの前は、たくさん勉強したほうがいいと思います。
B:そうですね。でも、テストのとき、眠くなったら困りますから、
前の日は早く＿＿＿＿＿ほうがいいと思います。",勉強した,寝た,勉強する,寝る,B
雨が降りそうだから、傘を＿＿＿＿ほうがいいですよ。,持って,持って行く,持って行った,持っていく,B
甘い物を＿＿＿＿ことにしました,食べられた,食べる,食べない,食べた,C
田中さんはどこへ______か、知っていますか,行く,行くの,行った,行ったん,C
毎朝５キロ＿＿＿＿ことにしました。,走った,走るの,走れた,走る,D
私は毎朝野菜ジュースを＿＿＿ことにしました。,飲んだ,飲むの,飲む,飲まない,C
マリアさんは、着物を＿＿＿ことがあります。,着る,着て,着た,着られ,C
雨が＿＿＿＿と、水が足りなくなります。,降る,降らない,降った,降るなら,B
最近、目が悪かったので、メガネを_____ことにしました。,つける,する,掛ける,かける,C
田中さんはどこへ______か、知っていますか,行く,行くの,行った,行ったん,C
"A:テストの前は、たくさん勉強したほうがいいと思います。
B:そうですね。でも、テストのとき、眠くなったら困りますから、
前の日は早く＿＿＿＿＿ほうがいいと思います。",勉強した,寝た,勉強する,寝る,B
私は毎朝野菜ジュースを＿＿＿ことにしました。,飲んだ,飲むの,飲む,飲まない,C
雨が＿＿＿＿と、水が足りなくなります。,降る,降らない,降った,降るなら,B
"A:大学を卒業したら、大学院に行くんですか。
B:いいえ、国へ_____ことにしました。",帰る,帰らない,帰って,帰った,A
A:コヒー、何枚必要ですか。B:わかりません。何枚＿＿＿か、山田さんに聞いて下さい。,いる,必要,必要だ,必要の,B
毎日自分で料理を＿＿＿ことにしました,作らない,作る,作った,作るの,B
最近、目が悪かったので、メガネを_____ことにしました。,つける,する,掛ける,かける,C
